,title,abstract
article01,NeuroIS: A Survey on the Status of the Field,"NeuroIS has emerged as a research field in the Information Systems (IS) discipline over the past decade. Since the inaugural NeuroIS Retreat in 2009, 166 individuals participated at this annual academic conference to discuss research and development projects at the nexus of IS and neuroscience research. Motivated by the fact that the NeuroIS Retreat celebrates its 10-year anniversary in 2018, we invited all 166 former participants of the NeuroIS Retreat to state their opinions in an online survey on the development of the field and its future. In this paper, we summarize the answers of N = 60 respondents regarding NeuroIS topics and methods."
article02,Improving Security Behavior Through Better Security Message Comprehension: fMRI and Eye-Tracking Insights,"Security warnings are critical to help users make contextual security decisions. Unfortunately, users find these warnings hard to understand, and they routinely expose themselves to unintended risks as a result. Although it is straightforward to determine when users fail to understand a warning, it is more difficult to pinpoint why this happens. The goal of this research is to use eye tracking and fMRI to step through the building blocks of comprehension—attention, semantics, syntax, and pragmatics—for SSL and other common security warnings. Through this process, we will identify ways to design security warnings to be more easily understood."
article03,Neural Activity Related to Information Security Decision Making: Effects of Who Is Rewarded and When the Reward Is Received,"Breaches of information security resulting from cybercrime represents a significant threat to the security and well-being of individuals, corporations, and governments. Therefore, understanding the neurocognitive processes that lead individuals to violate information security policy represents a fundamental pursuit for NeuroIS researchers. In the current study, we examined the effects of whether an individual or a close associate benefited from a violation of information security, and the temporal delay before the benefit was received on event-related brain potentials (ERPs) related to ethical decision making. The electrophysiological data revealed modulations of the ERPs that were generally sensitive to ethical decision making, or that were specifically sensitive to the recipient or timing of the reward. The components that were sensitive to the two independent variables were observed over the anterior frontal region of the scalp, consistent with the neuroimaging literature demonstrating that several prefrontal structures participate in self-referent processing and intertemporal choice."
article04,NeuroIS for Decision Support: The Case of Filmmakers and Audience Test Screenings,"The application of neuroscience theories, methods, and tools holds great potential for the development of novel decision support systems. In this paper, we develop a theoretical framework for how NeuroIS may support the test screening process of filmmakers where decisions are made about what narrative material is shown to the audience, what sequence it is to be ordered, and what emotional value it must carry. While current methods for audience test screenings commonly rely on standardized questionnaires and focus groups, decision support systems may employ neuroscience tools as built-in functions to provide the filmmaker with novel insights into how their movie is ultimately perceived by the audience. Thereby, a key focus lies on the coherence between the emotional experience intended by the filmmaker and the emotional experience exhibited by the audience. Further, NeuroIS allows an evaluation of how the emotional experience to specific cinematic moments affects overall movie satisfaction."
article05,Measuring the Impact of Mind Wandering in Real Time Using an Auditory Evoked Potential,"In this research-in-progress paper, we propose an experiment to investigate the neurophysiological correlates of mind wandering using electroencephalography (EEG). Auditory oddball event related potentials have been observed to be sensitive to the mind wandering state and can be used as a real-time passive measure. This has advantages over standard survey techniques because it is an objective, non-disruptive real time measure. We describe an experiment to observe the neuro-physiological correlates of mind wandering in online learning environments using an auditory oddball. In doing so, we introduce a new experimental paradigm to the IS literature which could be used to extend other attention-related research."
article06,Exploring Eye-Tracking Data for Detection of Mind-Wandering on Web Tasks,Mind-wandering (MW) is a phenomenon that affects most of us; it affects our interactions with information systems. Yet the literature on its effects on human-computer interaction is only scant. This research aims to contribute to establishing eye-tracking measures that could be used to detect periods of MW while a user is engaged in interaction with online information. We conducted a lab study (N􏰀 30) and present an exploratory analysis of eye-tracking data with a focus on finding differences between periods of MW and not-MW. We found 12 eye tracking measures that were significantly different between periods of MW and not-MW. We also show promising classification results of the same variables. Our results indicate plausibility of using eye-tracking data to infer periods of MW.
article07,Attentional Characteristics of Anomaly Detection in Conceptual Modeling,"We use eye tracking to better understand the attentional characteristics specific to successful error detection in conceptual models. This phase of our multi-step research project describes the visual comportments associated with successful semantic and syntactic error identification and diagnosis. We test our predictions, based on prior studies on visual attention in an error detection task, or studies comparing experts and non-experts in diverse tasks, in a controlled experiment where participants are tasked with detecting and diagnosing errors in 75 BPMN® models. The results suggest that successful error diagnostics are linked with shorter total view time and shorter fixation duration, with a significant difference between semantic and syntactic errors. By identifying the visual attention differences and tendencies associated with successful detection tasks and the investigation of semantic and syntactic errors, we highlight the non-polarity of the ‘scale’ of expertise and allow clear recommendations for curriculum development and training methods."
article08,Paying Attention Doesn’t Always Pay off: The Effects of High Attention Load on Evaluations of Ideas,"Creativity is a key driver of success for organizations in the digital age. Managers engaged in evaluating the creativity of new ideas are often subject to a myriad of technology-mediated distractors that compete for their attention. In this work in progress paper, we investigate whether attentional overload results in an upward bias for IT-mediated creativity evaluations. We report on promising early results that examines this phenomenon and set out to study its implications on IT design complexity."
article09,Using Gaze Behavior to Measure Cognitive Load,"Measuring and influencing cognitive load during information processing can be seen as a promising instrument to mitigate the risk of information overload while increasing processing capabilities. In this study, we demonstrate how to use cross-sectional time-series data generated with an eye tracking device to indicate cognitive load levels. Thereby we combine multiple measures related to fixations, saccades and blinks and calculate one comprehensive and robust measure. Applicability is demonstrated by conducting two separate experiments in a decision-making scenario in the context of information visualization."
article10,The Impact of Gestures on Formal Language Learning and Its Neural Correlates: A Study Proposal,This pilot study reports about the impact of gestures on learning a formal language like Python. The aim of this research-in-progress is to find out if memory performance will benefit from the coupling of gestures and words in the learning phase. Previous research has demonstrated that gestures accompanying speech have an impact on memory for verbal information. This is the first study applying the body-mind concept to formal language learning. We introduce the study design and the results of one person.
article11,A Cloud-Based Lab Management and Analytics Software for Triangulated Human-Centered Research,"This paper introduces a cloud-based lab management and analytics software platform that we have developed for triangulated human-centred research. The solution is designed to support three main requirements: (1) It enables accurate triangulation of enriched UX measures; (2) It produces triangulated enriched measures in a timely manner; and (3) it helps to generate meaningful recommendations. The application supports the key activities that are required to conduct an enriched UX research project: (1) Designing the UX test; (2) Planning and scheduling the test; (3) Executing the test; (4) Post-processing and triangulating of the collected data; (5) Analyzing and visualizing of the data and; (6) Lab Maintenance. At the time of publication, the application is currently at technology readiness level (TRL) 6 and we are currently conducting beta testing in academic and commercial lab to demonstrate the technology an operational environment."
article12,brownieR: The R-Package for Neuro Information Systems Research,"Neuro-Information-Systems (NeuroIS) research has become an established approach in the information systems (IS) discipline for investigating and understanding user behavior. Our outlined package with the name brownieR is a freely-available open source R-package for analyzing NeuroIS data (i.e. the combination of physiological and behavioral data). The central purpose of this work is to instruct researchers how brownieR can be used in IS research by providing a practical guide on how to conduct the analysis of bio-physiological data combined with behavioral data (e.g., from the web, experimental tasks, or log files). Further, the article provides an analysis framework and covers the different stages involved in analyzing physiological data."
